location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.13,2022-05-29,Lumbos Hole,43.79553,-69.94557,2022-06-02,2022-06-08,0,2,30,67,3,8,55,82
PSP12.002,2022-05-30,Sabino,43.857,-69.868,2022-06-03,2022-06-09,1,14,41,44,3,11,27,65
PSP12.13b,2022-05-29,Long Reach (Brun),43.85228,-69.92467,2022-06-02,2022-06-08,1,15,40,43,3,5,36,52
PSP10.33,2022-05-31,Spurwink River,43.56632,-70.27305,2022-06-04,2022-06-10,3,18,46,33,2,6,24,42
PSP13.03,2022-05-29,Pinkham Pt.,43.79416,-69.9289,2022-06-02,2022-06-08,2,21,47,30,2,6,20,40
PSP12.15,2022-05-30,Gurnet,43.85809,-69.91333,2022-06-03,2022-06-09,2,30,44,23,2,6,16,32
PSP12.243,2022-05-29,Dingley Starboard,43.81194,-69.88472,2022-06-02,2022-06-08,12,30,36,22,2,6,14,34
PSP11.111,2022-05-30,CAS LON,43.708,-70.159,2022-06-03,2022-06-09,15,29,35,20,2,3,17,25
PSP12.11,2022-05-29,Ewin Narrows,43.81755,-69.95353,2022-06-02,2022-06-08,11,35,38,17,2,3,12,21
PSP11.117,2022-05-30,CAS CF3,43.7119,-70.18787,2022-06-03,2022-06-09,29,32,26,13,1,8,3,23
PSP12.06,2022-05-29,Wills Gut,43.74995,-69.9883,2022-06-02,2022-06-08,19,38,32,12,1,3,7,16
PSP10.11,2022-05-31,Ogunquit River,43.2503,-70.5954,2022-06-04,2022-06-10,32,33,25,10,1,2,7,13
PSP12.28,2022-05-31,Bear Island,43.78556,-69.87415,2022-06-04,2022-06-10,21,43,27,9,1,3,4,12
PSP10.145,2022-05-31,Webhannet River,43.320514,-70.564503,2022-06-04,2022-06-10,33,34,25,8,1,3,4,12
PSP12.3,2022-05-30,Sebasco,43.7637,-69.8616,2022-06-03,2022-06-09,53,28,15,5,0,1,3,6
PSP10.29,2022-05-31,Pine Point,43.54459,-70.33231,2022-06-04,2022-06-10,44,35,16,4,0,2,1,7
PSP12.01,2022-05-29,Basin Pt.,43.73848,-70.04343,2022-06-02,2022-06-08,61,24,12,3,0,1,2,6
PSP10.2,2022-05-31,Cape Porpoise,43.36592,-70.43032,2022-06-04,2022-06-10,63,24,10,3,0,1,1,4
PSP12.03,2022-05-29,Potts Pt.,43.73064,-70.02556,2022-06-02,2022-06-08,78,14,7,2,0,1,1,3
PSP11.115,2022-05-30,CAS BASK,43.73316,-70.16358,2022-06-03,2022-06-09,60,27,11,2,0,2,1,6
PSP10.07,2022-05-31,York River,43.12727,-70.64426,2022-06-04,2022-06-10,71,20,7,2,0,1,1,5
PSP10.25,2022-05-31,Biddeford Pool,43.44652,-70.35614,2022-06-04,2022-06-10,75,17,7,2,0,0,1,2
PSP12.34,2022-05-30,Head Beach,43.71711,-69.84999,2022-06-03,2022-06-09,77,16,6,1,0,0,1,2
PSP16.41,2022-05-30,Port Clyde,43.92526,-69.259,2022-06-03,2022-06-09,84,11,4,1,0,0,1,1
PSP10.02,2022-05-31,Great Cove Marina,43.09612,-70.76781,2022-06-04,2022-06-10,88,9,2,1,0,0,0,1
PSP11.1,2022-05-31,Littlejohns Bridge,43.75511,-70.1354,2022-06-04,2022-06-10,85,12,3,1,0,0,0,1
PSP12.003,2022-05-29,Mitchell Field,43.778,-70.0167,2022-06-02,2022-06-08,97,3,0,0,0,0,0,0
PSP16.4,2022-05-30,Howard Pt.,43.94755,-69.27711,2022-06-03,2022-06-09,99,1,0,0,0,0,0,0
PSP11.17,2022-05-31,Flying Pt,43.8097,-70.06895,2022-06-04,2022-06-10,90,7,2,0,0,0,0,0
PSP12.21,2022-05-31,Fort St. George,43.75373,-69.78983,2022-06-04,2022-06-10,99,1,0,0,0,0,0,0
PSP14.01,2022-05-31,Bay Pt.,43.75479,-69.77623,2022-06-04,2022-06-10,90,8,2,0,0,0,0,0
PSP14.02,2022-05-31,Indian Pt.,43.75329,-69.75399,2022-06-04,2022-06-10,98,2,0,0,0,0,0,0
PSP14.05,2022-05-31,Griffith Head,43.784,-69.722,2022-06-04,2022-06-10,98,2,0,0,0,0,0,0
PSP14.08,2022-05-31,Five Islands,43.824,-69.709,2022-06-04,2022-06-10,99,1,0,0,0,0,0,0
