location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP15.25,2022-08-07,Christmas Cove Town Landing,43.84476,-69.55365,2022-08-11,2022-08-17,99,1,0,0,0,0,0,0
PSP16.41,2022-08-07,Port Clyde,43.92526,-69.259,2022-08-11,2022-08-17,99,1,0,0,0,0,0,0
PSP26.07,2022-08-07,Cutler Hbr.,44.65701,-67.20525,2022-08-11,2022-08-17,96,4,0,0,0,0,0,0
PSP26.15,2022-08-07,Lubec Channel,44.85891,-66.98028,2022-08-11,2022-08-17,91,8,1,0,0,0,0,0
PSP27.05,2022-08-07,Gove Pt.,44.90545,-67.05621,2022-08-11,2022-08-17,94,6,1,0,0,0,0,0
PSP27.46,2022-08-07,Gleason Cove,44.97084,-67.05254,2022-08-11,2022-08-17,64,32,4,0,0,0,0,1
PSP10.02,2022-08-08,Great Cove Marina,43.09612,-70.76781,2022-08-12,2022-08-18,97,2,0,0,0,0,0,0
PSP10.07,2022-08-08,York River,43.12727,-70.64426,2022-08-12,2022-08-18,96,4,0,0,0,0,0,0
PSP10.11,2022-08-08,Ogunquit River,43.2503,-70.5954,2022-08-12,2022-08-18,97,3,0,0,0,0,0,0
PSP10.145,2022-08-08,Webhannet River,43.320514,-70.564503,2022-08-12,2022-08-18,92,7,1,0,0,0,0,0
PSP10.25,2022-08-08,Biddeford Pool,43.44652,-70.35614,2022-08-12,2022-08-18,94,5,0,0,0,0,0,0
PSP21.09,2022-08-08,Bass Hbr.,44.23824,-68.34792,2022-08-12,2022-08-18,93,6,1,0,0,0,0,0
PSP12.01,2022-08-09,Basin Pt.,43.73848,-70.04343,2022-08-13,2022-08-19,99,1,0,0,0,0,0,0
PSP12.03,2022-08-09,Potts Pt.,43.73064,-70.02556,2022-08-13,2022-08-19,99,1,0,0,0,0,0,0
PSP12.13,2022-08-09,Lumbos Hole,43.79553,-69.94557,2022-08-13,2022-08-19,99,1,0,0,0,0,0,0
PSP12.28,2022-08-09,Bear Island,43.78556,-69.87415,2022-08-13,2022-08-19,99,1,0,0,0,0,0,0
PSP19.15,2022-08-09,Stonington,44.15419,-68.65947,2022-08-13,2022-08-19,99,1,0,0,0,0,0,0
PSP22.01,2022-08-09,Bar Hbr. Bar,44.39342,-68.20833,2022-08-13,2022-08-19,98,2,0,0,0,0,0,0
PSP22.03,2022-08-09,Salisbury Cove,44.43248,-68.28517,2022-08-13,2022-08-19,99,1,0,0,0,0,0,0
PSP10.33,2022-08-10,Spurwink River,43.56632,-70.27305,2022-08-14,2022-08-20,98,1,0,0,0,0,0,0
PSP22.21,2022-08-10,Sorrento Harbor (Waukeag),44.47156,-68.18404,2022-08-14,2022-08-20,98,2,0,0,0,0,0,0
PSP23.07,2022-08-10,Corea Hbr.,44.39319,-67.97628,2022-08-14,2022-08-20,99,1,0,0,0,0,0,0
PSP24.08,2022-08-10,Ripley Pt.,44.52198,-67.79233,2022-08-14,2022-08-20,99,1,0,0,0,0,0,0
PSP25.06,2022-08-10,Kelley Pt.,44.53205,-67.5655,2022-08-14,2022-08-20,99,1,0,0,0,0,0,0
