location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP22.01,2022-07-13,Bar Hbr. Bar,44.39342,-68.20833,2022-07-17,2022-07-23,19,17,34,30,2,10,15,46
PSP10.07,2022-07-11,York River,43.12727,-70.64426,2022-07-15,2022-07-21,6,44,42,8,1,3,4,14
PSP10.11,2022-07-11,Ogunquit River,43.2503,-70.5954,2022-07-15,2022-07-21,9,45,39,7,1,3,3,16
PSP10.2,2022-07-11,Cape Porpoise,43.36592,-70.43032,2022-07-15,2022-07-21,10,50,35,5,1,1,3,6
PSP27.05,2022-07-11,Gove Pt.,44.90545,-67.05621,2022-07-15,2022-07-21,49,33,15,3,0,1,2,5
PSP10.145,2022-07-11,Webhannet River,43.320514,-70.564503,2022-07-15,2022-07-21,46,41,11,2,0,1,1,3
PSP26.15,2022-07-11,Lubec Channel,44.85891,-66.98028,2022-07-15,2022-07-21,53,32,12,2,0,0,2,3
PSP27.4,2022-07-10,Birch Pt. Perry,44.91796,-67.07182,2022-07-14,2022-07-20,87,10,3,1,0,0,1,1
PSP27.46,2022-07-10,Gleason Cove,44.97084,-67.05254,2022-07-14,2022-07-20,66,26,7,1,0,1,0,3
PSP10.02,2022-07-11,Great Cove Marina,43.09612,-70.76781,2022-07-15,2022-07-21,56,35,8,1,0,1,0,2
PSP10.25,2022-07-11,Biddeford Pool,43.44652,-70.35614,2022-07-15,2022-07-21,66,27,6,1,0,0,0,2
PSP12.21,2022-07-11,Fort St. George,43.75373,-69.78983,2022-07-15,2022-07-21,85,12,3,1,0,0,0,1
PSP12.34,2022-07-11,Head Beach,43.71711,-69.84999,2022-07-15,2022-07-21,80,17,3,1,0,0,0,1
PSP10.33,2022-07-12,Spurwink River,43.56632,-70.27305,2022-07-16,2022-07-22,55,37,7,1,0,0,1,1
PSP14.01,2022-07-12,Bay Pt.,43.75479,-69.77623,2022-07-16,2022-07-22,82,13,4,1,0,0,1,1
PSP19.12,2022-07-12,IAH Town Dock,44.0737,-68.64,2022-07-16,2022-07-22,85,11,3,1,0,0,1,1
PSP19.13,2022-07-12,Duck Hbr.,44.0293,-68.65308,2022-07-16,2022-07-22,82,14,3,1,0,0,0,1
PSP14.2,2022-07-13,Pratts Island,43.81457,-69.6815,2022-07-17,2022-07-23,68,23,7,1,0,0,1,2
PSP12.004,2022-07-10,Lookout Pt.,43.80816,-69.99323,2022-07-14,2022-07-20,98,2,0,0,0,0,0,0
PSP12.01,2022-07-10,Basin Pt.,43.73848,-70.04343,2022-07-14,2022-07-20,93,6,1,0,0,0,0,0
PSP12.03,2022-07-10,Potts Pt.,43.73064,-70.02556,2022-07-14,2022-07-20,91,8,1,0,0,0,0,0
PSP12.06,2022-07-10,Wills Gut,43.74995,-69.9883,2022-07-14,2022-07-20,85,13,2,0,0,0,0,0
PSP12.11,2022-07-10,Ewin Narrows,43.81755,-69.95353,2022-07-14,2022-07-20,88,11,1,0,0,0,0,0
PSP12.13,2022-07-10,Lumbos Hole,43.79553,-69.94557,2022-07-14,2022-07-20,76,21,2,0,0,0,0,0
PSP12.13b,2022-07-10,Long Reach (Brun),43.85228,-69.92467,2022-07-14,2022-07-20,97,3,0,0,0,0,0,0
PSP12.15,2022-07-10,Gurnet,43.85809,-69.91333,2022-07-14,2022-07-20,95,5,0,0,0,0,0,0
PSP12.243,2022-07-10,Dingley Starboard,43.81194,-69.88472,2022-07-14,2022-07-20,97,3,0,0,0,0,0,0
PSP13.03,2022-07-10,Pinkham Pt.,43.79416,-69.9289,2022-07-14,2022-07-20,97,3,0,0,0,0,0,0
PSP27.24,2022-07-10,Edmunds Ramp,44.85744,-67.14813,2022-07-14,2022-07-20,90,9,1,0,0,0,0,0
PSP10.011,2022-07-11,Spinney Creek,43.10266,-70.7727,2022-07-15,2022-07-21,98,2,0,0,0,0,0,0
PSP11.110,2022-07-11,CAS BA2 Bangs island,43.728,-70.095,2022-07-15,2022-07-21,82,16,1,0,0,0,0,0
PSP11.111,2022-07-11,CAS LON,43.708,-70.159,2022-07-15,2022-07-21,88,12,1,0,0,0,0,0
PSP11.115,2022-07-11,CAS BASK,43.73316,-70.16358,2022-07-15,2022-07-21,90,9,1,0,0,0,0,0
PSP11.117,2022-07-11,CAS CF3,43.7119,-70.18787,2022-07-15,2022-07-21,88,11,1,0,0,0,0,0
PSP12.002,2022-07-11,Sabino,43.857,-69.868,2022-07-15,2022-07-21,96,4,0,0,0,0,0,0
PSP12.28,2022-07-11,Bear Island,43.78556,-69.87415,2022-07-15,2022-07-21,92,7,1,0,0,0,0,0
PSP12.3,2022-07-11,Sebasco,43.7637,-69.8616,2022-07-15,2022-07-21,95,5,0,0,0,0,0,0
PSP16.4,2022-07-11,Howard Pt.,43.94755,-69.27711,2022-07-15,2022-07-21,96,4,0,0,0,0,0,0
PSP25.13,2022-07-11,Shoppee Pt.,44.61523,-67.49666,2022-07-15,2022-07-21,97,3,0,0,0,0,0,0
PSP26.07,2022-07-11,Cutler Hbr.,44.65701,-67.20525,2022-07-15,2022-07-21,96,4,0,0,0,0,0,0
PSP27.09,2022-07-11,Youngs Pt. Lubec,44.892,-67.0945,2022-07-15,2022-07-21,92,7,1,0,0,0,0,0
PSP10.29,2022-07-12,Pine Point,43.54459,-70.33231,2022-07-16,2022-07-22,89,10,1,0,0,0,0,1
PSP11.1,2022-07-12,Littlejohns Bridge,43.75511,-70.1354,2022-07-16,2022-07-22,97,3,0,0,0,0,0,0
PSP11.17,2022-07-12,Flying Pt,43.8097,-70.06895,2022-07-16,2022-07-22,94,6,0,0,0,0,0,0
PSP14.02,2022-07-12,Indian Pt.,43.75329,-69.75399,2022-07-16,2022-07-22,94,5,0,0,0,0,0,0
PSP14.05,2022-07-12,Griffith Head,43.784,-69.722,2022-07-16,2022-07-22,94,5,0,0,0,0,0,0
PSP16.12,2022-07-12,Timber Pt.,44.00908,-69.35513,2022-07-16,2022-07-22,97,3,0,0,0,0,0,0
PSP16.25,2022-07-12,Garrison Is. Bar,43.96986,-69.32865,2022-07-16,2022-07-22,97,3,0,0,0,0,0,0
PSP16.32,2022-07-12,Stones Pt.,43.97,-69.27691,2022-07-16,2022-07-22,96,4,0,0,0,0,0,0
PSP16.321,2022-07-12,Pleasant Pt. Gut,43.95382,-69.30748,2022-07-16,2022-07-22,97,3,0,0,0,0,0,0
PSP19.15,2022-07-12,Stonington,44.15419,-68.65947,2022-07-16,2022-07-22,96,4,0,0,0,0,0,0
PSP23.07,2022-07-12,Corea Hbr.,44.39319,-67.97628,2022-07-16,2022-07-22,98,2,0,0,0,0,0,0
PSP24.08,2022-07-12,Ripley Pt.,44.52198,-67.79233,2022-07-16,2022-07-22,98,2,0,0,0,0,0,0
PSP25.06,2022-07-12,Kelley Pt.,44.53205,-67.5655,2022-07-16,2022-07-22,98,2,0,0,0,0,0,0
PSP14.17,2022-07-13,Sawyer Is.,43.86782,-69.67739,2022-07-17,2022-07-23,97,3,0,0,0,0,0,0
PSP14.21,2022-07-13,Newagen,43.78639,-69.65778,2022-07-17,2022-07-23,96,4,0,0,0,0,0,0
PSP14.35,2022-07-13,Ocean Point,43.8138,-69.59961,2022-07-17,2022-07-23,93,6,1,0,0,0,0,0
PSP15.2,2022-07-13,Graveyard Pt.,43.8782,-69.52402,2022-07-17,2022-07-23,93,6,1,0,0,0,0,0
PSP15.24,2022-07-13,Round Pond,43.94133,-69.45337,2022-07-17,2022-07-23,97,3,0,0,0,0,0,0
PSP15.25,2022-07-13,Christmas Cove Town Landing,43.84476,-69.55365,2022-07-17,2022-07-23,94,6,1,0,0,0,0,0
PSP16.41,2022-07-13,Port Clyde,43.92526,-69.259,2022-07-17,2022-07-23,96,3,0,0,0,0,0,0
PSP19.38,2022-07-13,Burntcoat Hbr.,44.14834,-68.44768,2022-07-17,2022-07-23,93,6,0,0,0,0,0,0
PSP21.09,2022-07-13,Bass Hbr.,44.23824,-68.34792,2022-07-17,2022-07-23,86,12,2,0,0,0,0,0
PSP22.03,2022-07-13,Salisbury Cove,44.43248,-68.28517,2022-07-17,2022-07-23,94,6,0,0,0,0,0,0
