location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,p3_sd,p3_min,p3_max,predicted_class
PSP12.28,2022-04-20,Bear Island,43.78556,-69.87415,2022-04-24,2022-04-30,94,5,1,0,0,0,0,0
PSP12.13,2022-04-20,Lumbos Hole,43.79553,-69.94557,2022-04-24,2022-04-30,94,5,1,0,0,0,0,0
PSP12.03,2022-04-20,Potts Pt.,43.73064,-70.02556,2022-04-24,2022-04-30,95,5,1,0,0,0,0,0
PSP10.33,2022-04-20,Spurwink River,43.56632,-70.27305,2022-04-24,2022-04-30,97,3,0,0,0,0,0,0
PSP10.11,2022-04-20,Ogunquit River,43.2503,-70.5954,2022-04-24,2022-04-30,97,2,0,0,0,0,0,0
PSP11.117,2022-04-18,CAS CF3,43.7119,-70.18787,2022-04-22,2022-04-28,98,2,0,0,0,0,0,0
PSP12.34,2022-04-20,Head Beach,43.71711,-69.84999,2022-04-24,2022-04-30,98,2,0,0,0,0,0,0
PSP11.115,2022-04-18,CAS BASK,43.73316,-70.16358,2022-04-22,2022-04-28,99,1,0,0,0,0,0,0
PSP12.01,2022-04-20,Basin Pt.,43.73848,-70.04343,2022-04-24,2022-04-30,99,1,0,0,0,0,0,0
PSP16.41,2022-04-20,Port Clyde,43.92526,-69.259,2022-04-24,2022-04-30,99,1,0,0,0,0,0,0
PSP15.25,2022-04-20,Christmas Cove Town Landing,43.84476,-69.55365,2022-04-24,2022-04-30,99,1,0,0,0,0,0,0
