location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP10.11,2022-06-20,Ogunquit River,43.2503,-70.5954,2022-06-24,2022-06-30,0,0,10,90,3,5,80,96
PSP10.07,2022-06-20,York River,43.12727,-70.64426,2022-06-24,2022-06-30,0,3,25,72,3,4,68,78
PSP10.145,2022-06-20,Webhannet River,43.320514,-70.564503,2022-06-24,2022-06-30,0,4,29,67,3,5,60,76
PSP10.02,2022-06-20,Great Cove Marina,43.09612,-70.76781,2022-06-24,2022-06-30,1,6,31,62,3,10,49,81
PSP11.117,2022-06-22,CAS CF3,43.7119,-70.18787,2022-06-26,2022-07-02,2,14,41,43,3,8,30,56
PSP10.29,2022-06-20,Pine Point,43.54459,-70.33231,2022-06-24,2022-06-30,5,21,40,34,2,6,21,41
PSP27.46,2022-06-22,Gleason Cove,44.97084,-67.05254,2022-06-26,2022-07-02,6,21,39,34,2,4,26,39
PSP11.111,2022-06-22,CAS LON,43.708,-70.159,2022-06-26,2022-07-02,16,27,33,23,2,11,12,46
PSP21.09,2022-06-20,Bass Hbr.,44.23824,-68.34792,2022-06-24,2022-06-30,16,35,30,20,1,2,16,22
PSP10.33,2022-06-20,Spurwink River,43.56632,-70.27305,2022-06-24,2022-06-30,12,30,40,18,2,4,14,22
PSP11.115,2022-06-22,CAS BASK,43.73316,-70.16358,2022-06-26,2022-07-02,21,35,28,16,1,4,11,22
PSP27.05,2022-06-19,Gove Pt.,44.90545,-67.05621,2022-06-23,2022-06-29,36,34,21,10,0,2,5,14
PSP10.2,2022-06-22,Cape Porpoise,43.36592,-70.43032,2022-06-26,2022-07-02,24,39,27,10,1,2,7,12
PSP26.15,2022-06-19,Lubec Channel,44.85891,-66.98028,2022-06-23,2022-06-29,47,29,16,7,0,3,4,12
PSP19.13,2022-06-21,Duck Hbr.,44.0293,-68.65308,2022-06-25,2022-07-01,48,32,15,5,0,1,4,6
PSP12.003,2022-06-19,Mitchell Field,43.778,-70.0167,2022-06-23,2022-06-29,50,33,13,4,0,1,3,5
PSP12.34,2022-06-19,Head Beach,43.71711,-69.84999,2022-06-23,2022-06-29,59,27,11,3,0,1,2,4
PSP22.01,2022-06-20,Bar Hbr. Bar,44.39342,-68.20833,2022-06-24,2022-06-30,52,33,12,3,0,2,2,7
PSP27.24,2022-06-22,Edmunds Ramp,44.85744,-67.14813,2022-06-26,2022-07-02,58,30,10,3,0,1,1,5
PSP12.06,2022-06-19,Wills Gut,43.74995,-69.9883,2022-06-23,2022-06-29,52,36,10,2,0,1,1,3
PSP12.01,2022-06-19,Basin Pt.,43.73848,-70.04343,2022-06-23,2022-06-29,74,22,3,1,0,0,0,1
PSP12.03,2022-06-19,Potts Pt.,43.73064,-70.02556,2022-06-23,2022-06-29,88,9,2,1,0,0,0,1
PSP12.28,2022-06-19,Bear Island,43.78556,-69.87415,2022-06-23,2022-06-29,55,35,8,1,0,0,1,2
PSP12.3,2022-06-19,Sebasco,43.7637,-69.8616,2022-06-23,2022-06-29,87,9,3,1,0,0,0,1
PSP26.07,2022-06-19,Cutler Hbr.,44.65701,-67.20525,2022-06-23,2022-06-29,77,19,4,1,0,0,1,1
PSP19.12,2022-06-21,IAH Town Dock,44.0737,-68.64,2022-06-25,2022-07-01,86,10,3,1,0,0,0,1
PSP19.15,2022-06-22,Stonington,44.15419,-68.65947,2022-06-26,2022-07-02,89,9,2,1,0,0,0,1
PSP12.002,2022-06-19,Sabino,43.857,-69.868,2022-06-23,2022-06-29,97,3,0,0,0,0,0,0
PSP12.11,2022-06-19,Ewin Narrows,43.81755,-69.95353,2022-06-23,2022-06-29,95,5,1,0,0,0,0,0
PSP12.13,2022-06-19,Lumbos Hole,43.79553,-69.94557,2022-06-23,2022-06-29,60,36,3,0,0,0,0,1
PSP12.13b,2022-06-19,Long Reach (Brun),43.85228,-69.92467,2022-06-23,2022-06-29,94,6,1,0,0,0,0,0
PSP12.15,2022-06-19,Gurnet,43.85809,-69.91333,2022-06-23,2022-06-29,96,4,0,0,0,0,0,0
PSP12.21,2022-06-19,Fort St. George,43.75373,-69.78983,2022-06-23,2022-06-29,98,2,0,0,0,0,0,0
PSP12.243,2022-06-19,Dingley Starboard,43.81194,-69.88472,2022-06-23,2022-06-29,95,4,0,0,0,0,0,0
PSP13.03,2022-06-19,Pinkham Pt.,43.79416,-69.9289,2022-06-23,2022-06-29,95,5,0,0,0,0,0,0
PSP14.01,2022-06-19,Bay Pt.,43.75479,-69.77623,2022-06-23,2022-06-29,96,4,0,0,0,0,0,0
PSP14.02,2022-06-19,Indian Pt.,43.75329,-69.75399,2022-06-23,2022-06-29,98,2,0,0,0,0,0,0
PSP14.05,2022-06-19,Griffith Head,43.784,-69.722,2022-06-23,2022-06-29,98,2,0,0,0,0,0,0
PSP14.08,2022-06-19,Five Islands,43.824,-69.709,2022-06-23,2022-06-29,98,2,0,0,0,0,0,0
PSP11.1,2022-06-20,Littlejohns Bridge,43.75511,-70.1354,2022-06-24,2022-06-30,98,2,0,0,0,0,0,0
PSP11.17,2022-06-20,Flying Pt,43.8097,-70.06895,2022-06-24,2022-06-30,98,2,0,0,0,0,0,0
PSP21.03,2022-06-20,Pretty Marsh Hbr.,44.33965,-68.41552,2022-06-24,2022-06-30,97,3,0,0,0,0,0,0
PSP14.17,2022-06-21,Sawyer Is.,43.86782,-69.67739,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP14.2,2022-06-21,Pratts Island,43.81457,-69.6815,2022-06-25,2022-07-01,95,4,0,0,0,0,0,0
PSP14.21,2022-06-21,Newagen,43.78639,-69.65778,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP14.35,2022-06-21,Ocean Point,43.8138,-69.59961,2022-06-25,2022-07-01,97,2,0,0,0,0,0,0
PSP15.2,2022-06-21,Graveyard Pt.,43.8782,-69.52402,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP15.24,2022-06-21,Round Pond,43.94133,-69.45337,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP15.25,2022-06-21,Christmas Cove Town Landing,43.84476,-69.55365,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP17.06,2022-06-21,Sprucehead,44.00593,-69.12441,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP19.38,2022-06-21,Burntcoat Hbr.,44.14834,-68.44768,2022-06-25,2022-07-01,96,4,0,0,0,0,0,0
PSP19.39,2022-06-21,Back Cove,44.16649,-68.43606,2022-06-25,2022-07-01,96,3,0,0,0,0,0,0
PSP23.07,2022-06-21,Corea Hbr.,44.39319,-67.97628,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP24.08,2022-06-21,Ripley Pt.,44.52198,-67.79233,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP25.06,2022-06-21,Kelley Pt.,44.53205,-67.5655,2022-06-25,2022-07-01,98,2,0,0,0,0,0,0
PSP16.12,2022-06-22,Timber Pt.,44.00908,-69.35513,2022-06-26,2022-07-02,98,2,0,0,0,0,0,0
PSP16.25,2022-06-22,Garrison Is. Bar,43.96986,-69.32865,2022-06-26,2022-07-02,98,2,0,0,0,0,0,0
PSP16.321,2022-06-22,Pleasant Pt. Gut,43.95382,-69.30748,2022-06-26,2022-07-02,98,2,0,0,0,0,0,0
PSP16.41,2022-06-22,Port Clyde,43.92526,-69.259,2022-06-26,2022-07-02,97,3,0,0,0,0,0,0
PSP17.20,2022-06-22,Maker Cove,44.04172,-69.11185,2022-06-26,2022-07-02,98,2,0,0,0,0,0,0
PSP19.17,2022-06-22,Inner Hbr.,44.18887,-68.66016,2022-06-26,2022-07-02,98,2,0,0,0,0,0,0
