location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.28,2022-04-25,Bear Island,43.78556,-69.87415,2022-04-29,2022-05-05,76,17,5,1,0,0,1,2
PSP12.13,2022-04-25,Lumbos Hole,43.79553,-69.94557,2022-04-29,2022-05-05,94,5,1,0,0,0,0,0
PSP10.33,2022-04-25,Spurwink River,43.56632,-70.27305,2022-04-29,2022-05-05,94,5,1,0,0,0,0,0
PSP11.117,2022-04-25,CAS CF3,43.7119,-70.18787,2022-04-29,2022-05-05,94,5,1,0,0,0,0,0
PSP12.03,2022-04-25,Potts Pt.,43.73064,-70.02556,2022-04-29,2022-05-05,96,4,0,0,0,0,0,0
PSP10.11,2022-04-25,Ogunquit River,43.2503,-70.5954,2022-04-29,2022-05-05,97,3,0,0,0,0,0,0
PSP11.115,2022-04-25,CAS BASK,43.73316,-70.16358,2022-04-29,2022-05-05,97,2,0,0,0,0,0,0
PSP12.01,2022-04-25,Basin Pt.,43.73848,-70.04343,2022-04-29,2022-05-05,98,2,0,0,0,0,0,0
PSP16.41,2022-04-25,Port Clyde,43.92526,-69.259,2022-04-29,2022-05-05,98,2,0,0,0,0,0,0
PSP12.34,2022-04-25,Head Beach,43.71711,-69.84999,2022-04-29,2022-05-05,98,2,0,0,0,0,0,0
PSP15.25,2022-04-25,Christmas Cove Town Landing,43.84476,-69.55365,2022-04-29,2022-05-05,98,2,0,0,0,0,0,0
