location,date,name,lat,lon,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,predicted_class,p3_sd,p3_min,p3_max
PSP12.13,2022-05-03,Lumbos Hole,43.79553,-69.94557,2022-05-07,2022-05-13,5,14,31,50,3,10,36,71
PSP12.28,2022-05-03,Bear Island,43.78556,-69.87415,2022-05-07,2022-05-13,12,24,33,31,2,3,26,37
PSP10.33,2022-05-03,Spurwink River,43.56632,-70.27305,2022-05-07,2022-05-13,74,18,6,2,0,1,1,4
PSP11.117,2022-05-02,CAS CF3,43.7119,-70.18787,2022-05-06,2022-05-12,78,16,5,2,0,1,1,3
PSP12.03,2022-05-03,Potts Pt.,43.73064,-70.02556,2022-05-07,2022-05-13,88,10,2,0,0,0,0,1
PSP12.34,2022-05-03,Head Beach,43.71711,-69.84999,2022-05-07,2022-05-13,89,10,1,0,0,0,0,0
PSP11.115,2022-05-02,CAS BASK,43.73316,-70.16358,2022-05-06,2022-05-12,92,7,1,0,0,0,0,0
PSP10.11,2022-05-03,Ogunquit River,43.2503,-70.5954,2022-05-07,2022-05-13,97,3,0,0,0,0,0,0
PSP12.01,2022-05-03,Basin Pt.,43.73848,-70.04343,2022-05-07,2022-05-13,97,3,0,0,0,0,0,0
PSP16.41,2022-05-04,Port Clyde,43.92526,-69.259,2022-05-08,2022-05-14,96,3,0,0,0,0,0,0
PSP15.25,2022-05-04,Christmas Cove Town Landing,43.84476,-69.55365,2022-05-08,2022-05-14,98,2,0,0,0,0,0,0
