version,ensemble_n,location,date,name,lat,lon,class_bins,forecast_start_date,forecast_end_date,p_0,p_1,p_2,p_3,p3_sd,p_3_min,p_3_max,predicted_class,measurement_date,toxicity,class
v0.1.3,10,PSP11.115,2022-05-09,CAS BASK,43.73316,-70.16358,"0,10,30,80",2022-05-13,2022-05-19,26,20,30,24,6.428422582608261,15.00832885503769,32.741326093673706,2,2022-05-18,49.69436740099285,2
v0.1.3,10,PSP11.117,2022-05-09,CAS CF3,43.7119,-70.18787,"0,10,30,80",2022-05-13,2022-05-19,19,20,33,29,7.12617578913332,16.59797430038452,41.000574827194214,2,2022-05-18,71.97785928168493,2
v0.1.3,10,PSP12.003,2022-05-09,Mitchell Field,43.778,-70.0167,"0,10,30,80",2022-05-13,2022-05-19,55,29,11,5,0.755234277359092,3.190186247229576,5.686463415622711,0,2022-05-16,3.8605048648825737,0
v0.1.3,10,PSP12.01,2022-05-09,Basin Pt.,43.73848,-70.04343,"0,10,30,80",2022-05-13,2022-05-19,59,28,10,4,0.8182630290685462,2.888707257807255,5.262117832899094,0,2022-05-16,9.26377449777751,0
v0.1.3,10,PSP12.03,2022-05-09,Potts Pt.,43.73064,-70.02556,"0,10,30,80",2022-05-13,2022-05-19,90,7,2,1,0.16584910856268473,0.4704451188445091,0.959121435880661,0,2022-05-16,4.766807020640738,0
v0.1.3,10,PSP12.06,2022-05-09,Wills Gut,43.74995,-69.9883,"0,10,30,80",2022-05-13,2022-05-19,55,28,12,5,0.5550086968030861,4.166354611515999,5.822202190756798,0,2022-05-16,10.011323373504428,1
v0.1.3,10,PSP12.11,2022-05-09,Ewin Narrows,43.81755,-69.95353,"0,10,30,80",2022-05-13,2022-05-19,12,16,34,38,9.15168646926473,26.109057664871216,49.614885449409485,3,2022-05-16,58.11006128706639,2
v0.1.3,10,PSP12.13,2022-05-09,Lumbos Hole,43.79553,-69.94557,"0,10,30,80",2022-05-13,2022-05-19,0,4,21,75,6.5740872362796345,61.55480742454529,83.05830359458923,3,2022-05-16,86.24820452436863,3
v0.1.3,10,PSP15.25,2022-05-09,Christmas Cove Town Landing,43.84476,-69.55365,"0,10,30,80",2022-05-13,2022-05-19,97,3,0,0,0.01270083492185233,0.03881691955029964,0.07856020820327103,0,2022-05-15,2.8841369290567256,0
v0.1.3,10,PSP16.41,2022-05-09,Port Clyde,43.92526,-69.259,"0,10,30,80",2022-05-13,2022-05-19,96,4,0,0,0.02194966263564713,0.06280216621235013,0.1298247603699565,0,2022-05-15,1.1041300445844917,0
v0.1.3,10,PSP10.11,2022-05-10,Ogunquit River,43.2503,-70.5954,"0,10,30,80",2022-05-14,2022-05-20,51,31,13,5,1.3596028556993436,3.4654106944799423,8.308648318052292,0,2022-05-17,47.73571616250968,2
v0.1.3,10,PSP10.33,2022-05-10,Spurwink River,43.56632,-70.27305,"0,10,30,80",2022-05-14,2022-05-20,21,38,28,13,3.0015855544701497,6.618325412273407,16.169473528862,1,2022-05-17,15.962335383844184,1
v0.1.3,10,PSP12.28,2022-05-10,Bear Island,43.78556,-69.87415,"0,10,30,80",2022-05-14,2022-05-20,0,2,17,81,4.506048775257537,72.70010113716125,88.2380485534668,3,2022-05-16,119.86892492868624,3
v0.1.3,10,PSP12.34,2022-05-10,Head Beach,43.71711,-69.84999,"0,10,30,80",2022-05-14,2022-05-20,97,3,0,0,0.01393497031716085,0.04205002333037555,0.08497683447785676,0,2022-05-16,3.443695161777075,0
v0.1.3,10,PSP12.13b,2022-05-11,Long Reach (Brun),43.85228,-69.92467,"0,10,30,80",2022-05-15,2022-05-21,82,14,3,1,0.17753424488933495,0.6600560620427132,1.1997858062386513,0,2022-05-16,1.53513816876745,0
v0.1.3,10,PSP12.15,2022-05-11,Gurnet,43.85809,-69.91333,"0,10,30,80",2022-05-15,2022-05-21,11,17,34,37,6.902074493660197,27.542400360107425,46.18081748485565,3,2022-05-16,56.129528572446134,2
v0.1.3,10,PSP12.243,2022-05-11,Dingley Starboard,43.81194,-69.88472,"0,10,30,80",2022-05-15,2022-05-21,48,32,14,6,1.8782442758615372,2.5427764281630516,8.666928857564926,0,2022-05-16,3.659541054431701,0
v0.1.3,10,PSP13.03,2022-05-11,Pinkham Pt.,43.79416,-69.9289,"0,10,30,80",2022-05-15,2022-05-21,4,11,33,52,8.411429207233194,39.03399705886841,63.441699743270874,3,2022-05-16,55.7167632286241,2
